"Year","GEO","DGUID","Gender (3a)","Economic family characteristics of persons (13)","Statistics (6C)","Age (8)","Individual MBM poverty status (7)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","Total - Age","Total - Individual MBM poverty status","","0","units","0","","2265.1.1.1.1.1","14031755","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","Total - Age","Poverty status - not applicable","","0","units","0","","2265.1.1.1.1.2","54620","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","Total - Age","Poverty status - applicable","","0","units","0","","2265.1.1.1.1.3","13977130","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","Total - Age","In poverty","","0","units","0","","2265.1.1.1.1.4","1158845","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","Total - Age","Not in poverty","","0","units","0","","2265.1.1.1.1.5","12818285","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","Total - Age","Poverty rate (%)","","0","units","0","","2265.1.1.1.1.6","8.3","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","Total - Age","Average poverty gap ratio (%)","","0","units","0","","2265.1.1.1.1.7","36.1","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","0 to 17 years","Total - Individual MBM poverty status","","0","units","0","","2265.1.1.1.2.1","2727490","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","0 to 17 years","Poverty status - not applicable","","0","units","0","","2265.1.1.1.2.2","17140","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","0 to 17 years","Poverty status - applicable","","0","units","0","","2265.1.1.1.2.3","2710345","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","0 to 17 years","In poverty","","0","units","0","","2265.1.1.1.2.4","235925","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","0 to 17 years","Not in poverty","","0","units","0","","2265.1.1.1.2.5","2474420","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","0 to 17 years","Poverty rate (%)","","0","units","0","","2265.1.1.1.2.6","8.7","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","0 to 17 years","Average poverty gap ratio (%)","","0","units","0","","2265.1.1.1.2.7","31.8","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","0 to 5 years","Total - Individual MBM poverty status","","0","units","0","","2265.1.1.1.3.1","832345","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","0 to 5 years","Poverty status - not applicable","","0","units","0","","2265.1.1.1.3.2","5320","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","0 to 5 years","Poverty status - applicable","","0","units","0","","2265.1.1.1.3.3","827030","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","0 to 5 years","In poverty","","0","units","0","","2265.1.1.1.3.4","78725","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","0 to 5 years","Not in poverty","","0","units","0","","2265.1.1.1.3.5","748310","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","0 to 5 years","Poverty rate (%)","","0","units","0","","2265.1.1.1.3.6","9.5","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","0 to 5 years","Average poverty gap ratio (%)","","0","units","0","","2265.1.1.1.3.7","30.0","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","6 to 17 years","Total - Individual MBM poverty status","","0","units","0","","2265.1.1.1.4.1","1895135","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","6 to 17 years","Poverty status - not applicable","","0","units","0","","2265.1.1.1.4.2","11820","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","6 to 17 years","Poverty status - applicable","","0","units","0","","2265.1.1.1.4.3","1883315","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","6 to 17 years","In poverty","","0","units","0","","2265.1.1.1.4.4","157205","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","6 to 17 years","Not in poverty","","0","units","0","","2265.1.1.1.4.5","1726115","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","6 to 17 years","Poverty rate (%)","","0","units","0","","2265.1.1.1.4.6","8.3","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","6 to 17 years","Average poverty gap ratio (%)","","0","units","0","","2265.1.1.1.4.7","32.7","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","18 to 24 years","Total - Individual MBM poverty status","","0","units","0","","2265.1.1.1.5.1","1209345","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","18 to 24 years","Poverty status - not applicable","","0","units","0","","2265.1.1.1.5.2","5345","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","18 to 24 years","Poverty status - applicable","","0","units","0","","2265.1.1.1.5.3","1204000","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","18 to 24 years","In poverty","","0","units","0","","2265.1.1.1.5.4","165230","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","18 to 24 years","Not in poverty","","0","units","0","","2265.1.1.1.5.5","1038770","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","18 to 24 years","Poverty rate (%)","","0","units","0","","2265.1.1.1.5.6","13.7","","","","1"
