Year,Geography,Time leaving for work ,Age ,Gender ,Main mode of commuting ,Commuting duration,Value
2021,Canada,Total - Time leaving for work,Total (all ages),Total (all genders),Total - Main mode of commuting,Average commuting duration (in minutes),23.7
2021,Canada,Total - Time leaving for work,Total (all ages),Total (all genders),"Car, truck or van",Average commuting duration (in minutes),22.8
2021,Canada,Total - Time leaving for work,Total (all ages),Total (all genders),Driver (only worker in vehicle),Average commuting duration (in minutes),22.7
2021,Canada,Total - Time leaving for work,Total (all ages),Total (all genders),Passenger (only worker in vehicle),Average commuting duration (in minutes),16.1
2021,Canada,Total - Time leaving for work,Total (all ages),Total (all genders),Sustainable transportation,Average commuting duration (in minutes),29.9
2021,Canada,Total - Time leaving for work,Total (all ages),Total (all genders),Public transit,Average commuting duration (in minutes),42.9
2021,Canada,Total - Time leaving for work,Total (all ages),Total (all genders),Active transportation,Average commuting duration (in minutes),13.8
2021,Canada,Total - Time leaving for work,Total (all ages),Total (all genders),Other method,Average commuting duration (in minutes),22.3
2021,Canada,Total - Time leaving for work,Total (all ages),Men+,Total - Main mode of commuting,Average commuting duration (in minutes),25.6
2021,Canada,Total - Time leaving for work,Total (all ages),Men+,"Car, truck or van",Average commuting duration (in minutes),25
2021,Canada,Total - Time leaving for work,Total (all ages),Men+,Driver (only worker in vehicle),Average commuting duration (in minutes),24.7
2021,Canada,Total - Time leaving for work,Total (all ages),Men+,Passenger (only worker in vehicle),Average commuting duration (in minutes),17
2021,Canada,Total - Time leaving for work,Total (all ages),Men+,Sustainable transportation,Average commuting duration (in minutes),29.5
2021,Canada,Total - Time leaving for work,Total (all ages),Men+,Public transit,Average commuting duration (in minutes),43.4
2021,Canada,Total - Time leaving for work,Total (all ages),Men+,Active transportation,Average commuting duration (in minutes),14.5
2021,Canada,Total - Time leaving for work,Total (all ages),Men+,Other method,Average commuting duration (in minutes),28.9
2021,Canada,Total - Time leaving for work,Total (all ages),Women+,Total - Main mode of commuting,Average commuting duration (in minutes),21.6
2021,Canada,Total - Time leaving for work,Total (all ages),Women+,"Car, truck or van",Average commuting duration (in minutes),20.1
2021,Canada,Total - Time leaving for work,Total (all ages),Women+,Driver (only worker in vehicle),Average commuting duration (in minutes),20.2
2021,Canada,Total - Time leaving for work,Total (all ages),Women+,Passenger (only worker in vehicle),Average commuting duration (in minutes),15.7
2021,Canada,Total - Time leaving for work,Total (all ages),Women+,Sustainable transportation,Average commuting duration (in minutes),30.1
2021,Canada,Total - Time leaving for work,Total (all ages),Women+,Public transit,Average commuting duration (in minutes),42.5
2021,Canada,Total - Time leaving for work,Total (all ages),Women+,Active transportation,Average commuting duration (in minutes),13.2
2021,Canada,Total - Time leaving for work,Total (all ages),Women+,Other method,Average commuting duration (in minutes),15.6
2021,Canada,Total - Time leaving for work,15 to 24 years,Total (all genders),Total - Main mode of commuting,Average commuting duration (in minutes),20.5
2021,Canada,Total - Time leaving for work,15 to 24 years,Total (all genders),"Car, truck or van",Average commuting duration (in minutes),18.5
2021,Canada,Total - Time leaving for work,15 to 24 years,Total (all genders),Driver (only worker in vehicle),Average commuting duration (in minutes),19
2021,Canada,Total - Time leaving for work,15 to 24 years,Total (all genders),Passenger (only worker in vehicle),Average commuting duration (in minutes),12.9
2021,Canada,Total - Time leaving for work,15 to 24 years,Total (all genders),Sustainable transportation,Average commuting duration (in minutes),28.1
2021,Canada,Total - Time leaving for work,15 to 24 years,Total (all genders),Public transit,Average commuting duration (in minutes),39.1
2021,Canada,Total - Time leaving for work,15 to 24 years,Total (all genders),Active transportation,Average commuting duration (in minutes),13.5
2021,Canada,Total - Time leaving for work,15 to 24 years,Total (all genders),Other method,Average commuting duration (in minutes),18.4
2021,Canada,Total - Time leaving for work,15 to 24 years,Men+,Total - Main mode of commuting,Average commuting duration (in minutes),21.4
2021,Canada,Total - Time leaving for work,15 to 24 years,Men+,"Car, truck or van",Average commuting duration (in minutes),20
2021,Canada,Total - Time leaving for work,15 to 24 years,Men+,Driver (only worker in vehicle),Average commuting duration (in minutes),20.2
2021,Canada,Total - Time leaving for work,15 to 24 years,Men+,Passenger (only worker in vehicle),Average commuting duration (in minutes),13.3
2021,Canada,Total - Time leaving for work,15 to 24 years,Men+,Sustainable transportation,Average commuting duration (in minutes),27.3
2021,Canada,Total - Time leaving for work,15 to 24 years,Men+,Public transit,Average commuting duration (in minutes),39.5
