Year,Geography,Gender ,Age ,Value
2020,Canada,,,8.1
2020,Canada,,0 to 17 years,8.5
2020,Canada,,18 to 24 years,14.0
2020,Canada,,25 to 54 years,7.9
2020,Canada,,55 to 64 years,9.0
2020,Canada,,65 years and over,4.7
2015,Canada,,,14.5
2015,Canada,,0 to 17 years,18.0
2015,Canada,,18 to 24 years,20.9
2015,Canada,,25 to 54 years,14.3
2015,Canada,,55 to 64 years,13.2
2015,Canada,,65 years and over,8.1
2020,Canada,,,21.5
2020,Canada,,0 to 17 years,96.5
2020,Canada,,18 to 24 years,53.3
2020,Canada,,25 to 54 years,20.7
2020,Canada,,55 to 64 years,27.1
2020,Canada,,65 years and over,10.0
2015,Canada,,,31.1
2015,Canada,,0 to 17 years,99.1
2015,Canada,,18 to 24 years,66.7
2015,Canada,,25 to 54 years,30.3
2015,Canada,,55 to 64 years,35.2
2015,Canada,,65 years and over,17.9
2020,Canada,Men+,,8.2
2020,Canada,Men+,0 to 17 years,8.5
2020,Canada,Men+,18 to 24 years,13.9
2020,Canada,Men+,25 to 54 years,8.1
2020,Canada,Men+,55 to 64 years,9.4
2020,Canada,Men+,65 years and over,4.3
2015,Canada,Men+,,14.1
2015,Canada,Men+,0 to 17 years,18.1
2015,Canada,Men+,18 to 24 years,19.9
2015,Canada,Men+,25 to 54 years,13.7
2015,Canada,Men+,55 to 64 years,13.3
2015,Canada,Men+,65 years and over,7.2
2020,Canada,Men+,,23.4
2020,Canada,Men+,0 to 17 years,96.8
2020,Canada,Men+,18 to 24 years,52.2
2020,Canada,Men+,25 to 54 years,21.4
2020,Canada,Men+,55 to 64 years,28.6
2020,Canada,Men+,65 years and over,10.7
2015,Canada,Men+,,32.2
2015,Canada,Men+,0 to 17 years,99.0
2015,Canada,Men+,18 to 24 years,62.1
2015,Canada,Men+,25 to 54 years,29.7
2015,Canada,Men+,55 to 64 years,36.7
2015,Canada,Men+,65 years and over,18.7
2020,Canada,Women+,,8.0
2020,Canada,Women+,0 to 17 years,8.4
2020,Canada,Women+,18 to 24 years,14.1
2020,Canada,Women+,25 to 54 years,7.7
2020,Canada,Women+,55 to 64 years,8.7
2020,Canada,Women+,65 years and over,5.0
2015,Canada,Women+,,14.8
2015,Canada,Women+,0 to 17 years,18.0
2015,Canada,Women+,18 to 24 years,22.0
2015,Canada,Women+,25 to 54 years,14.9
2015,Canada,Women+,55 to 64 years,13.0
2015,Canada,Women+,65 years and over,8.9
2020,Canada,Women+,,19.7
2020,Canada,Women+,0 to 17 years,96.2
2020,Canada,Women+,18 to 24 years,54.7
2020,Canada,Women+,25 to 54 years,19.7
2020,Canada,Women+,55 to 64 years,25.6
2020,Canada,Women+,65 years and over,9.7
2015,Canada,Women+,,30.0
2015,Canada,Women+,0 to 17 years,99.3
2015,Canada,Women+,18 to 24 years,72.2
2015,Canada,Women+,25 to 54 years,31.1
2015,Canada,Women+,55 to 64 years,33.8
2015,Canada,Women+,65 years and over,17.5
2020,Ontario,,,8.3
2020,Ontario,,0 to 17 years,8.7
2020,Ontario,,18 to 24 years,13.7
2020,Ontario,,25 to 54 years,8.3
2020,Ontario,,55 to 64 years,8.9
2020,Ontario,,65 years and over,4.8
2015,Ontario,,,15.5
2015,Ontario,,0 to 17 years,20.0
2015,Ontario,,18 to 24 years,21.7
2015,Ontario,,25 to 54 years,15.7
2015,Ontario,,55 to 64 years,13.7
2015,Ontario,,65 years and over,7.7
2020,Ontario,,,23.9
2020,Ontario,,0 to 17 years,96.7
2020,Ontario,,18 to 24 years,59.6
2020,Ontario,,25 to 54 years,23.3
2020,Ontario,,55 to 64 years,29.8
2020,Ontario,,65 years and over,10.5
2015,Ontario,,,32.8
2015,Ontario,,0 to 17 years,99.5
2015,Ontario,,18 to 24 years,74.3
2015,Ontario,,25 to 54 years,33.1
2015,Ontario,,55 to 64 years,37.8
2015,Ontario,,65 years and over,16.0
2020,Ontario,Men+,,8.5
2020,Ontario,Men+,0 to 17 years,8.7
2020,Ontario,Men+,18 to 24 years,14.0
2020,Ontario,Men+,25 to 54 years,8.5
2020,Ontario,Men+,55 to 64 years,9.3
2020,Ontario,Men+,65 years and over,4.5
2015,Ontario,Men+,,15.3
2015,Ontario,Men+,0 to 17 years,20.0
2015,Ontario,Men+,18 to 24 years,21.0
2015,Ontario,Men+,25 to 54 years,15.0
2015,Ontario,Men+,55 to 64 years,13.9
2015,Ontario,Men+,65 years and over,7.2
2020,Ontario,Men+,,26.9
2020,Ontario,Men+,0 to 17 years,97.1
2020,Ontario,Men+,18 to 24 years,59.9
2020,Ontario,Men+,25 to 54 years,24.6
2020,Ontario,Men+,55 to 64 years,32.0
2020,Ontario,Men+,65 years and over,11.9
2015,Ontario,Men+,,35.3
2015,Ontario,Men+,0 to 17 years,99.2
2015,Ontario,Men+,18 to 24 years,71.6
2015,Ontario,Men+,25 to 54 years,33.0
2015,Ontario,Men+,55 to 64 years,39.7
2015,Ontario,Men+,65 years and over,17.7
2020,Ontario,Women+,,8.1
2020,Ontario,Women+,0 to 17 years,8.7
2020,Ontario,Women+,18 to 24 years,13.4
2020,Ontario,Women+,25 to 54 years,8.0
2020,Ontario,Women+,55 to 64 years,8.5
2020,Ontario,Women+,65 years and over,5.0
2015,Ontario,Women+,,15.8
2015,Ontario,Women+,0 to 17 years,20.0
2015,Ontario,Women+,18 to 24 years,22.4
2015,Ontario,Women+,25 to 54 years,16.3
2015,Ontario,Women+,55 to 64 years,13.5
2015,Ontario,Women+,65 years and over,8.2
2020,Ontario,Women+,,21.1
2020,Ontario,Women+,0 to 17 years,96.3
2020,Ontario,Women+,18 to 24 years,59.3
2020,Ontario,Women+,25 to 54 years,21.7
2020,Ontario,Women+,55 to 64 years,27.7
2020,Ontario,Women+,65 years and over,9.8
2015,Ontario,Women+,,30.5
2015,Ontario,Women+,0 to 17 years,99.7
2015,Ontario,Women+,18 to 24 years,77.4
2015,Ontario,Women+,25 to 54 years,33.2
2015,Ontario,Women+,55 to 64 years,36.1
2015,Ontario,Women+,65 years and over,15.2
2020,Asphodel-Norwood,,,5.7
2020,Asphodel-Norwood,,0 to 17 years,5.2
2020,Asphodel-Norwood,,18 to 24 years,10.2
2020,Asphodel-Norwood,,25 to 54 years,5.6
2020,Asphodel-Norwood,,55 to 64 years,8.1
2020,Asphodel-Norwood,,65 years and over,3.4
2015,Asphodel-Norwood,,,11.7
2015,Asphodel-Norwood,,0 to 17 years,14.4
2015,Asphodel-Norwood,,18 to 24 years,17.5
2015,Asphodel-Norwood,,25 to 54 years,11.3
2015,Asphodel-Norwood,,55 to 64 years,15.9
2015,Asphodel-Norwood,,65 years and over,3.4
2020,Asphodel-Norwood,,,19.4
2020,Asphodel-Norwood,,0 to 17 years,0.0
2020,Asphodel-Norwood,,18 to 24 years,0.0
2020,Asphodel-Norwood,,25 to 54 years,18.5
2020,Asphodel-Norwood,,55 to 64 years,25.0
2020,Asphodel-Norwood,,65 years and over,12.2
2015,Asphodel-Norwood,,,20.7
2015,Asphodel-Norwood,,0 to 17 years,0.0
2015,Asphodel-Norwood,,18 to 24 years,0.0
2015,Asphodel-Norwood,,25 to 54 years,22.2
2015,Asphodel-Norwood,,55 to 64 years,30.0
2015,Asphodel-Norwood,,65 years and over,11.1
2020,Asphodel-Norwood,Men+,,5.5
2020,Asphodel-Norwood,Men+,0 to 17 years,6.3
2020,Asphodel-Norwood,Men+,18 to 24 years,9.4
2020,Asphodel-Norwood,Men+,25 to 54 years,5.1
2020,Asphodel-Norwood,Men+,55 to 64 years,9.9
2020,Asphodel-Norwood,Men+,65 years and over,0.0
2015,Asphodel-Norwood,Men+,,11.2
2015,Asphodel-Norwood,Men+,0 to 17 years,10.6
2015,Asphodel-Norwood,Men+,18 to 24 years,17.4
2015,Asphodel-Norwood,Men+,25 to 54 years,9.0
2015,Asphodel-Norwood,Men+,55 to 64 years,19.2
2015,Asphodel-Norwood,Men+,65 years and over,7.2
2020,Asphodel-Norwood,Men+,,20.8
2020,Asphodel-Norwood,Men+,0 to 17 years,0.0
2020,Asphodel-Norwood,Men+,18 to 24 years,0.0
2020,Asphodel-Norwood,Men+,25 to 54 years,23.5
2020,Asphodel-Norwood,Men+,55 to 64 years,27.3
2020,Asphodel-Norwood,Men+,65 years and over,0.0
2015,Asphodel-Norwood,Men+,,23.3
2015,Asphodel-Norwood,Men+,0 to 17 years,0.0
2015,Asphodel-Norwood,Men+,18 to 24 years,0.0
2015,Asphodel-Norwood,Men+,25 to 54 years,0.0
2015,Asphodel-Norwood,Men+,55 to 64 years,37.5
2015,Asphodel-Norwood,Men+,65 years and over,28.6
2020,Asphodel-Norwood,Women+,,6.0
2020,Asphodel-Norwood,Women+,0 to 17 years,3.9
2020,Asphodel-Norwood,Women+,18 to 24 years,11.1
2020,Asphodel-Norwood,Women+,25 to 54 years,6.0
2020,Asphodel-Norwood,Women+,55 to 64 years,6.6
2020,Asphodel-Norwood,Women+,65 years and over,4.7
2015,Asphodel-Norwood,Women+,,12.2
2015,Asphodel-Norwood,Women+,0 to 17 years,18.7
2015,Asphodel-Norwood,Women+,18 to 24 years,17.6
2015,Asphodel-Norwood,Women+,25 to 54 years,14.2
2015,Asphodel-Norwood,Women+,55 to 64 years,13.6
2015,Asphodel-Norwood,Women+,65 years and over,0.0
2020,Asphodel-Norwood,Women+,,17.6
2020,Asphodel-Norwood,Women+,0 to 17 years,0.0
2020,Asphodel-Norwood,Women+,18 to 24 years,0.0
2020,Asphodel-Norwood,Women+,25 to 54 years,0.0
2020,Asphodel-Norwood,Women+,55 to 64 years,33.3
2020,Asphodel-Norwood,Women+,65 years and over,11.1
2015,Asphodel-Norwood,Women+,,18.2
2015,Asphodel-Norwood,Women+,0 to 17 years,0.0
2015,Asphodel-Norwood,Women+,18 to 24 years,0.0
2015,Asphodel-Norwood,Women+,25 to 54 years,44.4
2015,Asphodel-Norwood,Women+,55 to 64 years,0.0
2015,Asphodel-Norwood,Women+,65 years and over,0.0
2020,Otonabee-South Monaghan,,,5.1
2020,Otonabee-South Monaghan,,0 to 17 years,7.4
2020,Otonabee-South Monaghan,,18 to 24 years,4.8
2020,Otonabee-South Monaghan,,25 to 54 years,6.1
2020,Otonabee-South Monaghan,,55 to 64 years,4.5
2020,Otonabee-South Monaghan,,65 years and over,2.1
2015,Otonabee-South Monaghan,,,8.1
2015,Otonabee-South Monaghan,,0 to 17 years,11.3
2015,Otonabee-South Monaghan,,18 to 24 years,0.0
2015,Otonabee-South Monaghan,,25 to 54 years,9.3
2015,Otonabee-South Monaghan,,55 to 64 years,10.8
2015,Otonabee-South Monaghan,,65 years and over,3.6
2020,Otonabee-South Monaghan,,,11.3
2020,Otonabee-South Monaghan,,0 to 17 years,0.0
2020,Otonabee-South Monaghan,,18 to 24 years,0.0
2020,Otonabee-South Monaghan,,25 to 54 years,19.0
2020,Otonabee-South Monaghan,,55 to 64 years,11.4
2020,Otonabee-South Monaghan,,65 years and over,0.0
2015,Otonabee-South Monaghan,,,21.7
2015,Otonabee-South Monaghan,,0 to 17 years,0.0
2015,Otonabee-South Monaghan,,18 to 24 years,0.0
2015,Otonabee-South Monaghan,,25 to 54 years,35.6
2015,Otonabee-South Monaghan,,55 to 64 years,29.4
2015,Otonabee-South Monaghan,,65 years and over,0.0
2020,Otonabee-South Monaghan,Men+,,5.2
2020,Otonabee-South Monaghan,Men+,0 to 17 years,7.0
2020,Otonabee-South Monaghan,Men+,18 to 24 years,0.0
2020,Otonabee-South Monaghan,Men+,25 to 54 years,6.5
2020,Otonabee-South Monaghan,Men+,55 to 64 years,5.3
2020,Otonabee-South Monaghan,Men+,65 years and over,2.4
2015,Otonabee-South Monaghan,Men+,,8.7
2015,Otonabee-South Monaghan,Men+,0 to 17 years,11.0
2015,Otonabee-South Monaghan,Men+,18 to 24 years,0.0
2015,Otonabee-South Monaghan,Men+,25 to 54 years,10.3
2015,Otonabee-South Monaghan,Men+,55 to 64 years,11.2
2015,Otonabee-South Monaghan,Men+,65 years and over,2.9
2020,Otonabee-South Monaghan,Men+,,14.9
2020,Otonabee-South Monaghan,Men+,0 to 17 years,0.0
2020,Otonabee-South Monaghan,Men+,18 to 24 years,0.0
2020,Otonabee-South Monaghan,Men+,25 to 54 years,22.2
2020,Otonabee-South Monaghan,Men+,55 to 64 years,0.0
2020,Otonabee-South Monaghan,Men+,65 years and over,0.0
2015,Otonabee-South Monaghan,Men+,,25.3
2015,Otonabee-South Monaghan,Men+,0 to 17 years,0.0
2015,Otonabee-South Monaghan,Men+,18 to 24 years,0.0
2015,Otonabee-South Monaghan,Men+,25 to 54 years,35.3
2015,Otonabee-South Monaghan,Men+,55 to 64 years,23.8
2015,Otonabee-South Monaghan,Men+,65 years and over,0.0
2020,Otonabee-South Monaghan,Women+,,4.9
2020,Otonabee-South Monaghan,Women+,0 to 17 years,8.6
2020,Otonabee-South Monaghan,Women+,18 to 24 years,0.0
2020,Otonabee-South Monaghan,Women+,25 to 54 years,5.8
2020,Otonabee-South Monaghan,Women+,55 to 64 years,3.7
2020,Otonabee-South Monaghan,Women+,65 years and over,0.0
2015,Otonabee-South Monaghan,Women+,,7.7
2015,Otonabee-South Monaghan,Women+,0 to 17 years,10.6
2015,Otonabee-South Monaghan,Women+,18 to 24 years,0.0
2015,Otonabee-South Monaghan,Women+,25 to 54 years,8.3
2015,Otonabee-South Monaghan,Women+,55 to 64 years,10.3
2015,Otonabee-South Monaghan,Women+,65 years and over,4.3
2020,Otonabee-South Monaghan,Women+,,6.8
2020,Otonabee-South Monaghan,Women+,0 to 17 years,0.0
2020,Otonabee-South Monaghan,Women+,18 to 24 years,0.0
2020,Otonabee-South Monaghan,Women+,25 to 54 years,0.0
2020,Otonabee-South Monaghan,Women+,55 to 64 years,0.0
2020,Otonabee-South Monaghan,Women+,65 years and over,0.0
2015,Otonabee-South Monaghan,Women+,,16.7
2015,Otonabee-South Monaghan,Women+,0 to 17 years,0.0
2015,Otonabee-South Monaghan,Women+,18 to 24 years,0.0
2015,Otonabee-South Monaghan,Women+,25 to 54 years,33.3
2015,Otonabee-South Monaghan,Women+,55 to 64 years,30.8
2015,Otonabee-South Monaghan,Women+,65 years and over,0.0
2020,Hiawatha First Nation,,,0.0
2020,Hiawatha First Nation,,0 to 17 years,0.0
2020,Hiawatha First Nation,,18 to 24 years,0.0
2020,Hiawatha First Nation,,25 to 54 years,0.0
2020,Hiawatha First Nation,,55 to 64 years,0.0
2020,Hiawatha First Nation,,65 years and over,0.0
2015,Hiawatha First Nation,,,0.0
2015,Hiawatha First Nation,,0 to 17 years,0.0
2015,Hiawatha First Nation,,18 to 24 years,0.0
2015,Hiawatha First Nation,,25 to 54 years,0.0
2015,Hiawatha First Nation,,55 to 64 years,0.0
2015,Hiawatha First Nation,,65 years and over,0.0
2020,Hiawatha First Nation,,,0.0
2020,Hiawatha First Nation,,0 to 17 years,0.0
2020,Hiawatha First Nation,,18 to 24 years,0.0
2020,Hiawatha First Nation,,25 to 54 years,0.0
2020,Hiawatha First Nation,,55 to 64 years,0.0
2020,Hiawatha First Nation,,65 years and over,0.0
2015,Hiawatha First Nation,,,0.0
2015,Hiawatha First Nation,,0 to 17 years,0.0
2015,Hiawatha First Nation,,18 to 24 years,0.0
2015,Hiawatha First Nation,,25 to 54 years,0.0
2015,Hiawatha First Nation,,55 to 64 years,0.0
2015,Hiawatha First Nation,,65 years and over,0.0
2020,Hiawatha First Nation,Men+,,0.0
2020,Hiawatha First Nation,Men+,0 to 17 years,0.0
2020,Hiawatha First Nation,Men+,18 to 24 years,0.0
2020,Hiawatha First Nation,Men+,25 to 54 years,0.0
2020,Hiawatha First Nation,Men+,55 to 64 years,0.0
2020,Hiawatha First Nation,Men+,65 years and over,0.0
