Year,Gender (3a),Economic family characteristics of persons (13),Unnamed: 3,Age (8),Individual MBM poverty status (7),Value
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,14031755.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - not applicable,54620.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,13977130.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,1158845.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,12818285.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),8.3
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),36.1
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,2727490.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - not applicable,17140.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - applicable,2710345.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,In poverty,235925.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Not in poverty,2474420.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),8.7
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),31.8
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,832345.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - not applicable,5320.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - applicable,827030.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,In poverty,78725.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Not in poverty,748310.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),9.5
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),30.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,1895135.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - not applicable,11820.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - applicable,1883315.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,In poverty,157205.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Not in poverty,1726115.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),8.3
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),32.7
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,1209345.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - not applicable,5345.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - applicable,1204000.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,In poverty,165230.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Not in poverty,1038770.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),13.7
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),48.2
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,5595190.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - not applicable,19600.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - applicable,5575585.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,In poverty,461700.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Not in poverty,5113885.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),8.3
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),37.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,1989455.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - not applicable,6490.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,1982970.0
