Year,GEO,Gender (3a),Economic family characteristics of persons (13),Age (8),Individual MBM poverty status (7),Value
2020,Ontario,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,583165.0
2020,Ontario,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),8.5
2020,Ontario,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,120900.0
2020,Ontario,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),8.7
2020,Ontario,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,In poverty,39795.0
2020,Ontario,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),9.4
2020,Ontario,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,81100.0
2020,Ontario,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),8.4
2020,Ontario,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,87495.0
2020,Ontario,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),14.0
2020,Ontario,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,232620.0
2020,Ontario,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),8.5
2020,Ontario,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,89815.0
2020,Ontario,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),9.3
2020,Ontario,Men+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,52340.0
2020,Ontario,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),4.5
2015,Ontario,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,986550.0
2015,Ontario,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),15.3
2015,Ontario,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,272040.0
2015,Ontario,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),20.0
2015,Ontario,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,In poverty,93200.0
2015,Ontario,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),21.9
2015,Ontario,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,178840.0
2015,Ontario,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),19.1
2015,Ontario,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,130900.0
2015,Ontario,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),21.0
2015,Ontario,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,392145.0
2015,Ontario,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),15.0
2015,Ontario,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,121895.0
2015,Ontario,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),13.9
2015,Ontario,Men+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,69580.0
2015,Ontario,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),7.2
2020,Ontario,Men+,Total - Persons in economic families,Total - Age,In poverty,319070.0
2020,Ontario,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),5.4
2020,Ontario,Men+,Total - Persons in economic families,0 to 17 years,In poverty,118385.0
2020,Ontario,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),8.5
2020,Ontario,Men+,Total - Persons in economic families,0 to 5 years,In poverty,39795.0
2020,Ontario,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),9.4
2020,Ontario,Men+,Total - Persons in economic families,6 to 17 years,In poverty,78590.0
2020,Ontario,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),8.1
2020,Ontario,Men+,Total - Persons in economic families,18 to 24 years,In poverty,27555.0
2020,Ontario,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),5.3
2020,Ontario,Men+,Total - Persons in economic families,25 to 54 years,In poverty,111630.0
2020,Ontario,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),5.0
2020,Ontario,Men+,Total - Persons in economic families,55 to 64 years,In poverty,34620.0
2020,Ontario,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),4.4
2020,Ontario,Men+,Total - Persons in economic families,65 years and over,In poverty,26875.0
2020,Ontario,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),2.9
